Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note on                 1, note 40, velocity 110
129:0   Note on                 2, note 40, velocity 106
129:0   Note on                 3, note 40, velocity 110
129:0   Note off                1, note 40, velocity 110
129:0   Note off                2, note 40, velocity 106
129:0   Note off                3, note 40, velocity 110
129:0   Note on                 1, note 21, velocity 110
129:0   Note on                 2, note 21, velocity 106
129:0   Note on                 3, note 21, velocity 110
129:0   Note on                 7, note 21, velocity 110
129:0   Note off                1, note 21, velocity 110
129:0   Note off                2, note 21, velocity 106
129:0   Note off                3, note 21, velocity 110
129:0   Note off                7, note 21, velocity 110
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 34, velocity 110
129:0   Note on                 2, note 34, velocity 106
129:0   Note on                 3, note 34, velocity 110
129:0   Note off                1, note 34, velocity 110
129:0   Note off                2, note 34, velocity 106
129:0   Note off                3, note 34, velocity 110
129:0   Note on                 1, note 33, velocity 110
129:0   Note on                 2, note 33, velocity 106
129:0   Note on                 3, note 33, velocity 110
129:0   Note off                1, note 33, velocity 110
129:0   Note off                2, note 33, velocity 106
129:0   Note off                3, note 33, velocity 110
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note on                 1, note 21, velocity 110
129:0   Note on                 2, note 21, velocity 106
129:0   Note on                 3, note 21, velocity 110
129:0   Note on                 7, note 21, velocity 110
129:0   Note off                1, note 21, velocity 110
129:0   Note off                2, note 21, velocity 106
129:0   Note off                3, note 21, velocity 110
129:0   Note off                7, note 21, velocity 110
129:0   Note on                 1, note 43, velocity 110
129:0   Note on                 2, note 43, velocity 106
129:0   Note on                 3, note 43, velocity 110
129:0   Note off                1, note 43, velocity 110
129:0   Note off                2, note 43, velocity 106
129:0   Note off                3, note 43, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 42, velocity 110
129:0   Note on                 2, note 42, velocity 106
129:0   Note on                 3, note 42, velocity 110
129:0   Note off                1, note 42, velocity 110
129:0   Note off                2, note 42, velocity 106
129:0   Note off                3, note 42, velocity 110
129:0   Note on                 1, note 40, velocity 110
129:0   Note on                 2, note 40, velocity 106
129:0   Note on                 3, note 40, velocity 110
129:0   Note off                1, note 40, velocity 110
129:0   Note off                2, note 40, velocity 106
129:0   Note off                3, note 40, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 21, velocity 110
129:0   Note on                 2, note 21, velocity 106
129:0   Note on                 3, note 21, velocity 110
129:0   Note on                 7, note 21, velocity 110
129:0   Note off                1, note 21, velocity 110
129:0   Note off                2, note 21, velocity 106
129:0   Note off                3, note 21, velocity 110
129:0   Note off                7, note 21, velocity 110
129:0   Note on                 0, note 78, velocity 88
129:0   Note on                 1, note 42, velocity 110
129:0   Note on                 2, note 42, velocity 106
129:0   Note on                 3, note 42, velocity 110
129:0   Note off                0, note 78, velocity 21
129:0   Note off                1, note 42, velocity 110
129:0   Note off                2, note 42, velocity 106
129:0   Note off                3, note 42, velocity 110
129:0   Note on                 0, note 85, velocity 88
129:0   Note on                 1, note 49, velocity 110
129:0   Note on                 2, note 49, velocity 106
129:0   Note on                 3, note 49, velocity 110
129:0   Note off                0, note 85, velocity 21
129:0   Note off                1, note 49, velocity 110
129:0   Note off                2, note 49, velocity 106
129:0   Note off                3, note 49, velocity 110
129:0   Note on                 0, note 78, velocity 88
